barcode	P104_P101	P104_P108	P104_P109	P104_P110	P104_P126	P104_P127	P104_P128	P104_P129	P105_P101	P105_P108	P105_P109	P105_P110	P105_P126	P105_P127	P105_P128	P105_P129	P111_P101	P111_P108	P111_P109	P111_P110	P111_P126	P111_P127	P111_P128	P111_P129	P112_P101	P112_P108	P112_P109	P112_P110	P112_P126	P112_P127	P112_P128	P112_P129	P122_P101	P122_P108	P122_P109	P122_P110	P122_P126	P122_P127	P122_P128	P122_P129	P123_P101	P123_P108	P123_P109	P123_P110	P123_P126	P123_P127	P123_P128	P123_P129	P124_P101	P124_P108	P124_P109	P124_P110	P124_P126	P124_P127	P124_P128	P124_P129	P125_P101	P125_P108	P125_P109	P125_P110	P125_P126	P125_P127	P125_P128	P125_P129	P130_P101	P130_P108	P130_P109	P130_P110	P130_P126	P130_P127	P130_P128	P130_P129	P131_P101	P131_P108	P131_P109	P131_P110	P131_P126	P131_P127	P131_P128	P131_P129	P132_P101	P132_P108	P132_P109	P132_P110	P132_P126	P132_P127	P132_P128	P132_P129	P133_P101	P133_P108	P133_P109	P133_P110	P133_P126	P133_P127	P133_P128	P133_P129
19296	25616	336	348	604	464	605	602	461	432	9841	1407	27444	25292	7668	6136	3100	352	871	5667	1512	4015	6240	6621	2590	331	1150	2582	16467	1316	7839	4893	1892	383	1783	2306	8054	27466	2298	4961	2324	497	1682	2983	3465	4469	39464	1929	1506	445	1589	1372	2965	3330	3415	22625	2939	332	855	1460	2928	2894	3870	3222	26531	293	1009	1137	3431	2595	16206	2738	1128	297	442	420	858	768	5382	4393	542	56	217	245	1696	3057	432	398	271	65	444	1569	289	283	328	298	177
26612	1076	29	26	41	25	34	29	24	31	4766	335	3713	1848	476	384	743	25	190	2989	229	361	299	315	715	53	777	843	1978	196	461	296	584	27	734	583	1120	1619	266	272	834	34	802	720	498	398	1395	163	536	72	437	355	465	240	283	732	317	17	168	273	348	194	333	169	1010	51	494	612	463	315	4929	835	241	14	87	62	74	37	326	165	51	6	63	43	328	258	64	59	51	13	298	513	85	64	96	50	68
18950	2906	48	44	69	25	71	66	58	54	4716	248	4326	1591	532	337	738	47	191	2872	279	306	667	336	794	51	423	594	3447	127	979	216	570	39	588	427	1640	1727	254	246	767	65	575	609	635	329	3950	180	301	59	399	328	675	234	525	2432	575	33	182	250	462	195	448	212	1059	28	345	337	268	187	3933	740	149	23	83	66	122	43	808	214	67	8	42	25	486	100	54	48	43	10	190	351	58	28	75	31	32
32675	3720	74	53	96	45	79	60	71	75	6637	342	7599	2285	751	518	1059	57	299	3927	338	412	955	502	1077	70	650	903	4473	181	1389	337	765	62	887	663	2307	2153	410	348	1151	84	887	893	1056	469	5333	243	508	88	633	449	1020	324	733	3092	838	42	198	314	645	237	647	258	1357	56	549	538	489	429	7118	1035	266	46	116	112	166	71	1228	255	89	10	51	52	643	236	78	41	47	10	298	527	82	50	96	51	47
217798	7780	124	118	183	147	177	176	143	113	8613	618	11233	6511	1975	1508	1832	114	445	6469	717	1084	1869	1601	1804	147	968	1645	8557	486	2449	1356	1430	153	1298	1200	3951	6650	886	1356	1830	164	1194	1380	1543	1266	10123	579	792	176	813	741	1517	926	1214	5949	1314	108	356	603	1351	812	1239	872	5792	117	729	752	805	685	9558	1836	435	91	179	152	273	171	1784	977	177	31	83	107	972	558	130	117	111	24	360	790	152	84	163	132	97
1488	109713	1516	1542	2318	2143	2864	3067	2025	2190	24121	7248	86661	122596	65157	56279	12317	1866	4909	12948	7806	20840	38536	59688	10508	1380	4763	8346	53469	6267	44780	37873	8451	1689	6389	7811	28597	136146	11609	35190	9163	2023	6412	9912	13706	21149	225502	11265	7369	1995	6252	5961	11789	15755	19844	128895	14426	1815	5983	7459	13336	16303	23481	31087	192193	1056	2789	3191	12486	10145	41305	10568	5026	1706	3287	3224	5224	4850	35876	41827	4308	287	1025	1037	6026	14530	2253	2185	1349	151	1050	4356	837	874	1478	1313	717
60973	2080	30	38	41	20	54	36	44	26	2991	169	3181	1116	345	253	401	24	124	2421	168	176	401	229	423	30	264	430	2563	100	563	163	325	36	330	301	939	1075	174	194	407	34	350	388	345	219	2470	114	192	43	212	148	366	143	280	1802	324	24	98	143	326	120	315	138	661	24	216	224	187	146	3008	483	105	21	55	40	64	32	481	107	39	4	15	18	265	49	36	17	16	7	109	203	21	33	32	30	35
51200	2511	43	51	58	34	50	52	35	42	3961	178	3748	1383	350	290	546	38	128	2412	200	178	530	263	572	36	303	431	2857	129	724	175	381	37	447	343	1090	1378	204	170	555	46	411	463	446	268	3314	161	222	57	271	192	451	172	350	2111	338	22	118	155	351	129	336	128	869	31	223	185	207	138	3644	542	122	30	56	39	86	41	539	128	42	9	30	30	275	74	36	20	28	4	141	232	44	26	37	25	29
179100	45931	560	618	938	919	1029	1275	834	975	21319	3573	58755	66268	28259	25206	7203	730	2029	12160	3610	11238	14268	26679	6334	723	2808	6780	33929	3206	16945	20797	5508	816	4111	5681	18210	68173	5248	19483	6535	871	3697	6600	7968	11462	81149	5232	3667	855	4086	3408	7079	8690	8504	46422	7480	697	2334	3538	6955	7730	9438	13023	80174	575	2362	2798	10054	6096	36561	8445	3147	664	1241	1215	2112	2030	14719	18040	1615	140	528	597	4568	9836	1067	1229	688	116	1067	4085	646	573	874	834	463
7774/400133	63872	809	869	1451	1042	1575	1546	1064	966	26632	3051	75051	38142	17186	13492	8231	908	2278	16952	4144	7401	19968	15697	8512	878	3510	7705	46650	3202	25517	14934	5980	878	5266	5305	23485	40137	6474	15042	7672	1286	5237	6997	10347	8512	122266	5218	4039	1251	5217	4246	11282	7525	14028	71208	11410	746	2124	3262	8046	5052	11885	8038	41054	683	2879	3182	6855	5531	48414	7652	2578	768	1372	1405	2649	1726	25306	10367	1595	179	642	627	6666	6239	1219	986	768	121	1152	3379	699	433	996	677	464
46200	4029	83	56	104	70	99	73	65	78	6921	364	7476	2240	743	529	1023	61	242	4049	354	372	932	507	1055	70	597	835	4617	196	1390	311	740	51	870	615	2208	2293	397	322	1046	73	764	914	937	449	5437	259	443	88	512	420	942	286	677	3233	687	45	228	313	659	249	631	245	1348	60	505	505	377	373	6502	994	219	36	106	72	192	66	1068	250	94	16	70	66	571	178	69	39	50	7	298	516	86	47	66	44	57
112239	2642	35	47	51	36	76	60	49	44	4304	205	4091	1517	461	326	597	24	184	2631	256	252	570	307	631	39	365	561	3031	122	825	205	449	35	491	378	1342	1476	268	217	651	49	462	564	546	290	3495	161	269	59	332	233	552	177	413	1999	454	37	123	177	391	158	393	167	984	40	273	254	221	173	3418	622	145	31	58	53	97	42	685	168	30	9	27	25	337	94	37	32	29	9	157	281	57	22	43	25	29
37241	2753	50	51	53	35	56	46	49	56	4103	192	4017	1485	396	288	568	27	141	2699	214	195	552	262	611	40	284	410	3275	99	711	191	411	52	458	329	1348	1381	219	185	558	44	451	431	434	209	2889	137	208	58	276	211	466	143	372	2315	377	26	127	182	392	147	375	155	851	40	250	204	180	144	3684	512	109	37	53	51	83	42	523	122	56	5	29	30	285	95	29	22	24	9	107	214	35	20	51	12	45
210734	1184	14	17	25	14	30	25	16	17	1534	77	1233	513	184	112	210	13	77	1151	87	90	212	114	232	25	132	202	1397	65	324	91	169	13	185	158	496	548	103	87	210	28	170	211	191	116	1347	73	90	22	126	97	221	65	163	984	168	9	48	76	159	68	143	74	346	9	78	87	82	52	947	249	44	13	27	25	35	22	223	65	17	5	13	6	120	19	15	6	11	1	47	95	18	11	21	13	12
43155	6208	98	128	160	128	167	132	122	132	8832	798	11253	11118	2460	2118	1676	123	425	5377	621	1631	1564	2227	1561	110	945	2149	6774	525	1975	1814	1138	129	1229	1785	3265	11363	775	1833	1505	111	1124	2447	1362	1764	8732	597	738	154	1090	999	1378	1227	1037	5265	1127	110	427	939	1114	1044	1168	1132	8501	101	641	788	1250	765	9528	1635	497	85	179	214	289	270	1629	1434	204	35	130	130	835	1320	155	155	131	20	388	1360	161	144	163	143	143
170554	2674	44	41	64	52	72	47	35	46	4421	223	4177	1506	470	345	616	42	187	2615	217	289	697	323	619	44	375	571	3127	143	869	222	525	42	564	438	1382	1560	261	258	690	37	547	575	577	304	3610	187	266	63	310	298	579	238	463	2104	428	33	119	185	427	206	456	184	999	41	328	292	245	257	4164	672	152	36	74	62	107	58	761	168	47	7	21	37	355	106	42	39	27	11	158	312	65	37	61	43	49
147119	1903	43	37	55	26	48	45	29	37	2866	155	3231	1042	333	257	393	22	98	2068	183	206	441	215	439	33	247	403	2470	121	617	163	357	37	370	289	969	1214	197	182	458	33	334	430	400	240	2657	124	201	43	228	189	443	156	327	1639	343	25	77	124	329	119	289	146	685	27	229	188	178	157	2894	529	114	22	42	29	103	45	471	106	35	8	22	15	280	70	46	16	22	7	129	243	52	22	41	19	27
25531	48779	554	639	917	755	1156	1212	789	581	7097	1427	16353	35676	16847	12095	2934	602	1014	3587	1637	4896	12536	12725	2686	455	1008	1813	18496	1584	13356	8999	2154	593	1713	2029	8202	50282	3440	8269	2606	758	1685	3118	3339	6127	75837	3497	2268	670	1497	1434	2855	4243	5284	47731	3528	633	1538	1970	3739	4781	6739	9146	69870	314	455	490	1105	1083	10213	3271	1143	594	563	543	989	1114	7509	8926	873	108	112	98	1233	1356	443	467	208	68	243	1144	205	240	496	413	213
